index,Dimension0,Dimension1
foul,-5.53643195934e+16,-7.33140998927e+15
four,-3.05076295845e+16,4.89176518601e+16
hanging,-2.65595291432e+16,-7.10968176207e+16
marching,4.54243401919e+16,-3.07203203017e+17
increase,-1.11798154516e+16,-5.58891647479e+16
midafternoon,9.34921865009e+16,-3.23879119218e+16
mutinied,-9.32633783519e+16,-3.98575295431e+16
lord,1.06857247981e+15,-3.08265856776e+16
sinking,-1.63108609628e+18,-3.01746708883e+17
leisurely,7.92027548634e+16,-1.14239849821e+17
politician,-3.51576962311e+16,4.38282617005e+15
stabbed,-2.84716746661e+16,-1.5277427128e+17
bringing,-8.08847468731e+15,1.15412940711e+17
disturb,6.32940139137e+16,-9.12400101186e+16
prize,1.68390352816e+17,-3.10415499296e+16
wooden,8.50772021037e+16,-2.11884798094e+16
clientele,-7.51109642707e+15,8.71264729223e+16
succession,2.07506207541e+17,-3.00222289971e+17
straight,7.58273931776e+16,1.54044317512e+15
tired,-3.3425331475e+16,-5.44991630067e+16
lefford,8.96910495176e+16,-4.3179475589e+16
bacon,3.2672205597e+15,7.07721048408e+15
elegant,1.1922041629e+16,2.56780994067e+17
second,-7.84970728929e+16,1.23199541408e+16
sailed,-9.97799610159e+15,-3.22589071212e+16
ruthless,8.12723497256e+15,-1.79174382157e+16
thunder,-9.09200609195e+15,-2.97202017762e+15
cooking,-6.77357748577e+15,-1.73468861704e+17
contributed,2.40059520911e+17,6.46281900568e+17
resilient,2.39962636125e+16,-1.14002970438e+16
succumb,1.6141685575e+16,-1.20337537967e+16
hero,-4.48376281388e+16,2.95519797832e+17
interrupting,8.06330982474e+16,-5.66526690695e+16
here,-1.48103208684e+16,-7.43398634042e+16
substance,7.52229642692e+16,-9.28609070565e+16
k,4.00669753817e+16,-2.77970418686e+16
climbed,-2.69290511964e+16,7.7131302282e+16
military,1.37181817507e+16,-1.98149831375e+16
climber,1.37938472389e+16,2.8232710554e+15
diplomat,6.49337966068e+16,-6.35486897492e+16
appropriately,-8.7280482626e+15,-4.01481340372e+16
divide,1.57805587318e+17,-7.58560686058e+16
explained,4.41531451496e+16,2.40747460885e+16
replace,-9.9522419222e+15,-3.05623058575e+16
brought,2.00904539106e+15,3.00856380574e+16
stern,-1.32120390013e+16,-4.69458793257e+16
cheating,-1.55919017653e+15,-1.18085815494e+17
spoke,1.71476922624e+16,-5.65293309641e+16
cannibal,-8.0113906896e+16,-2.39015647e+17
occupying,1.40800237274e+17,-3.12829215624e+17
untie,-2.02004140165e+16,-1.79670224578e+17
strike,-2.68764514826e+16,-2.4263366807e+16
sideface,-8.03584513954e+16,-6.42906343971e+16
holy,2.04779545271e+15,-2.35363313008e+16
relax,3.86736688318e+16,-7.23319708561e+16
successful,-2.14773684141e+16,-2.13363701793e+16
brings,6.64328303349e+16,-1.08660430966e+17
hereby,4.97919968206e+17,-1.91108959656e+17
hurt,2.07059518884e+16,-2.50556874908e+16
glass,2.14901859286e+16,-4.59473343918e+16
hole,-9.13940002808e+14,5.72207956385e+16
hold,7.54057615463e+16,-1.76641318038e+16
simper,3.9107018935e+16,-1.60223069271e+16
benjens,-1.62606611872e+15,-7.92425275646e+16
pursue,-2.73476956944e+16,-1.28859183734e+16
zhoan,-8.40457284073e+16,-3.23852301561e+17
blade,-4.34984430234e+16,-3.41823691492e+15
plunged,-8.06304319309e+14,-4.29133566802e+15
sweeter,6.65226396391e+16,-2.40699822272e+17
rework,-1.95047300686e+16,1.22919381177e+16
example,4.41671062031e+17,-4.73059772151e+17
triple,1.58346461146e+16,-4.0154257243e+15
organized,-7.97328702651e+16,-8.30550726596e+16
caution,2.59713506333e+16,-1.10560834616e+17
want,3.57465732351e+16,-3.3181796492e+16
counseling,-7.43819884013e+15,-5.33936828447e+16
mymother,-1.4953479327e+17,-5.21397275423e+16
cocksucker,4.09352627894e+16,-1.48663180551e+17
absolute,2.19624411191e+17,-6.15550945766e+16
hog,1.67627714705e+17,-1.41389603523e+17
complaining,-3.12610898131e+16,-1.18788432508e+17
travel,3.4568836883e+15,-6.57315643963e+16
copious,2.3631847556e+15,-1.63501690549e+16
undying,1.02435942566e+17,3.35050225329e+16
hot,7.36577983696e+16,-1.06685336881e+17
retreating,3.03086232686e+16,-2.55026018773e+16
beauty,-3.26274728958e+16,-8.33579759548e+16
swing,-1.35324272804e+17,-1.0371402309e+17
despondent,9.58611226062e+15,-6.34902126856e+16
outlawed,-9.07886857759e+15,-1.69645853178e+16
wrong,-2.37594820335e+16,-5.66472878866e+16
barristan,2.52581032487e+16,-3.49090180601e+16
huhuh,-2.37370010179e+16,2.26541307369e+16
