index,Dimension1,Dimension2
foul,6.73281102445e+16,6.39476020113e+16
four,-7.93449851987e+16,-8.52900763637e+16
hanging,3.25909221776e+17,5.80950952083e+17
marching,5.76390700193e+14,-3.62869856073e+16
increase,6.21655906831e+16,4.92605469723e+16
midafternoon,4.58931072801e+16,-1.48630891795e+17
mutinied,6.63798699798e+15,-4.30651651692e+16
lord,3.53371216232e+16,1.60870780252e+16
sinking,4.75242516627e+16,3.35448161987e+16
leisurely,-9.83366540993e+16,-6.92731189981e+16
politician,3.68102788808e+16,1.23320606233e+16
stabbed,3.06200089844e+17,-2.02557228713e+17
bringing,-1.23238195712e+16,2.73037677206e+16
disturb,3.24789898774e+16,2.70492864301e+14
prize,1.08424251298e+17,-1.41443170719e+16
wooden,4.17575362999e+15,1.82246094699e+16
clientele,-6.28357947775e+16,3.66188484956e+16
succession,-4.20012015155e+16,3.70267206347e+14
straight,-3.22215560421e+15,-1.61727887429e+16
tired,1.37683002276e+16,1.08877891083e+17
lefford,3.02825280348e+17,1.50089410785e+17
bacon,6.67966613324e+16,2.85962579266e+16
elegant,4.84341813995e+16,-2.36270747076e+16
second,4.56862394466e+18,1.95288198327e+18
sailed,-8.09798039933e+16,-6.83164203112e+15
ruthless,-5.02904726629e+17,1.73260458965e+17
thunder,6.43803891194e+16,1.65121266411e+16
cooking,1.90217595853e+16,1.96077001218e+16
contributed,1.17108211609e+17,1.80207565153e+16
resilient,1.52387733294e+16,5.63554988832e+16
succumb,1.10501309252e+16,3.61862184758e+16
hero,-8.73267954646e+16,-1.35568983188e+17
interrupting,-3.25199346638e+16,5.57024209972e+16
here,-1.69650061178e+17,1.2219648307e+17
substance,-4.12661252025e+17,2.20505628913e+16
k,-7.26809751727e+15,-1.49948787399e+16
climbed,6.7704531397e+16,7.01030289669e+16
military,2.03978477894e+16,9.33149707565e+16
climber,3.8125183386e+16,-7.55968011767e+15
diplomat,-1.94807555879e+17,3.42027414138e+15
appropriately,1.94618262742e+17,-5.47560729725e+16
divide,-5.26291195107e+16,1.61871769859e+16
explained,1.26711297686e+16,-9.2377003807e+16
replace,-4.28716946511e+16,2.59884661721e+16
brought,1.90474491757e+16,9.11749723299e+16
stern,1.41963367531e+16,-1.04548214042e+15
cheating,1.95182139413e+16,2.01519432913e+16
spoke,7.37809854443e+15,-6.36033758993e+14
cannibal,2.45305557427e+16,5.63799634473e+16
occupying,1.04434503851e+16,6.50965794013e+16
untie,1.21078111131e+16,2.03249599068e+16
strike,2.54042524369e+15,7.20345747593e+16
sideface,7.63479124938e+15,1.26397949833e+16
holy,7.2061528291e+16,2.35043065219e+16
relax,3.15528422084e+15,1.77211382588e+16
successful,7.89088913621e+15,2.44146965664e+15
brings,-2.38687541837e+16,-8.81858766791e+14
hereby,1.62698032437e+16,1.99787754304e+16
hurt,-3.96698940836e+16,1.11911279364e+17
glass,-4.05337595524e+16,3.63418236098e+15
hole,2.58220241434e+17,-3.41654660082e+17
hold,5.30473481142e+16,2.4862222691e+16
simper,-2.29396221732e+17,-1.29910203789e+16
benjens,-4.07277559015e+16,1.62282601158e+16
pursue,-5.91717002543e+16,-2.98932197334e+16
zhoan,4.60148160685e+16,1.28204606918e+16
blade,-1.0509633761e+16,1.08561970864e+16
plunged,4.10203545046e+16,1.0172098341e+16
sweeter,3.26594711115e+16,8.91643725544e+15
rework,2.78221410542e+16,1.10718122719e+17
example,-5.33091020436e+16,3.72970273739e+16
triple,-3.8134426062e+16,8.14881249313e+16
organized,3.47827723332e+16,1.35175711463e+16
caution,6.75903618243e+15,9.82532719935e+15
want,8.65856598006e+15,6.79014589791e+15
counseling,1.30623328709e+16,1.60123707352e+16
mymother,1.33022427192e+17,-1.23795963192e+17
cocksucker,5.98967451133e+16,-7.65288412921e+15
absolute,-3.94004523429e+15,4.09121518467e+16
hog,1.0342019579e+16,9.36304787123e+15
complaining,2.69740401585e+16,8.44134762399e+15
travel,-5.0580164337e+16,3.75539852799e+16
copious,5.97895999212e+16,-7.32365070449e+16
undying,3.87466167188e+16,-3.07798946937e+16
hot,6.5918559156e+16,1.34417330169e+17
retreating,1.67535834198e+16,7.93608664051e+15
beauty,5.17546576852e+17,-1.40701335275e+18
swing,7.18388595885e+16,2.09458025779e+16
despondent,3.0589501409e+16,2.9914221855e+16
outlawed,8.02994648631e+16,-4.70479939035e+15
wrong,1.84916664477e+16,2.05190675167e+16
barristan,9.30698982411e+15,2.004986362e+16
huhuh,8.34175904853e+16,1.65583967695e+16
attracts,2.79567591929e+17,-1.1378755035e+17
revolt,4.21881025535e+16,-5.48703155939e+15
sickening,9.64692741699e+15,6.24561269219e+16
tulip,2.72939736164e+18,4.84196308118e+18
viserys,2.89389902629e+17,-8.50677166201e+16
wing,1.01856049469e+16,3.11568452543e+16
wind,6.14209501236e+16,6.66013396473e+17
wine,-4.70773535565e+15,5.64832871809e+15
dreamed,4.68232797509e+17,1.20418024175e+17
patricide,5.7748859176e+16,7.61347679396e+15
profaned,4.9224052832e+16,1.67676905789e+17
rewarded,-7.91641681573e+16,9.20891422488e+16
fit,8.72915283408e+16,1.57107349541e+16
allisers,1.60480666615e+17,2.73032936944e+16
screaming,1.09205190549e+16,2.94169820683e+16
fix,8.27000182176e+16,-1.22158856179e+17
dedicate,3.58120825766e+16,-7.9864903856e+16
fig,-4.42762189697e+16,-1.32761070712e+16
